episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.5229084000000057,True,False
2,460.0,702,1087,0.2,0.02597915843414905,2.1331657000000632,True,False
3,430.0,506,1593,0.2,0.02794641684273287,6.8023567000000185,True,False
4,380.0,514,2107,0.2,0.026270467124277275,11.59316160000003,True,False
5,180.0,443,2550,0.2,0.028145342115061107,15.696912300000122,True,False
6,330.0,398,2948,0.2,0.026405245389032644,19.42749170000002,True,False
7,550.0,670,3618,0.2,0.029794879060051776,25.838107000000036,True,False
8,280.0,419,4037,0.2,0.030160853897576174,30.171489100000144,True,False
9,520.0,475,4512,0.2,0.027290992030361276,35.10888169999998,True,False
10,2660.0,952,5464,0.2,0.03363745564427579,45.14992700000016,True,False
11,440.0,481,5945,0.2,0.03650142634821047,50.177236700000094,True,False
12,600.0,779,6724,0.2,0.04027803990548142,58.51333920000002,True,False
13,670.0,576,7300,0.2,0.03588126930844737,64.39944770000011,True,False
14,1880.0,736,8036,0.2,0.04018800589762142,71.9669778,True,False
15,1060.0,796,8832,0.2,0.04450223663700136,80.42407890000004,True,False
16,400.0,469,9301,0.2,0.04360093504715806,85.26804820000007,True,False
17,1280.0,798,10099,0.2,0.043800037709911865,93.77741860000015,True,False
18,1520.0,892,10991,0.2,0.04521495975959094,103.2704728000001,True,False
19,810.0,661,11652,0.2,0.04578213481490601,110.05125190000012,True,False
20,340.0,415,12067,0.2,0.04859659782818799,114.34484020000014,True,False
21,410.0,401,12468,0.2,0.04540356759000385,118.69508790000009,True,False
22,410.0,475,12943,0.2,0.043510570948533084,123.75563360000001,True,False
23,530.0,583,13526,0.2,0.05120748842823995,129.7498468000001,True,False
24,530.0,440,13966,0.2,0.04681548417799852,134.27128060000018,True,False
25,440.0,478,14444,0.2,0.04799429513902093,139.54709330000014,True,False
26,320.0,373,14817,0.2,0.047094793336826465,146.2955707000001,True,False
27,370.0,450,15267,0.2,0.05081390927495834,151.35181430000011,True,False
28,350.0,456,15723,0.2,0.049924041871635016,157.60465350000004,True,False
29,260.0,364,16087,0.2,0.044666540860147264,163.9077354000001,True,False
30,650.0,661,16748,0.2,0.04856638937447983,176.49041820000002,True,False
31,480.0,576,17324,0.2,0.05943531416253083,187.35905790000015,True,False
32,560.0,641,17965,0.2,0.05006943345506443,199.37583089999998,True,False
33,580.0,524,18489,0.2,0.051493704837981526,208.95788349999998,True,False
34,290.0,435,18924,0.2,0.05556430748595489,217.3145849,True,False
35,1210.0,790,19714,0.2,0.058027312410097134,231.8721425000001,True,False
36,1010.0,697,20411,0.2,0.05835140676869229,244.81996560000016,True,False
37,970.0,634,21045,0.2,0.05834737542208354,256.76651370000013,True,False
38,1440.0,916,21961,0.2,0.05848040142987233,270.51122750000013,True,False
39,510.0,540,22501,0.2,0.05712834150288944,275.5554488,True,False
40,480.0,483,22984,0.2,0.05632904675319668,280.2228338,True,False
41,1100.0,580,23564,0.2,0.05603256592976636,285.909637,True,False
42,390.0,458,24022,0.2,0.06303899941083632,290.5744003,True,False
43,450.0,446,24468,0.2,0.06686835982171553,295.6075238000001,True,False
44,640.0,668,25136,0.2,0.06141869380824758,303.2379927000002,True,False
45,510.0,457,25593,0.2,0.06691615574323294,308.35059130000013,True,False
46,940.0,876,26469,0.2,0.06315288596603696,318.81486500000005,True,False
47,560.0,465,26934,0.2,0.06207034340256761,324.20049730000005,True,False
48,970.0,671,27605,0.2,0.07076298928863946,331.9167261,True,False
49,470.0,454,28059,0.2,0.061857436676468466,337.05353160000004,True,False
50,520.0,527,28586,0.2,0.06396404809008042,343.1011085,True,False
51,440.0,483,29069,0.2,0.07106303889689243,351.3308708000002,True,False
52,2030.0,766,29835,0.2,0.06935574294248333,360.6135829,True,False
53,500.0,610,30445,0.2,0.06074763105853515,367.6389887,True,False
54,440.0,413,30858,0.2,0.06696855281344027,372.3691878000002,True,False
55,180.0,322,31180,0.2,0.06755439536990943,376.0170206,True,False
56,1070.0,786,31966,0.2,0.06674955256416329,385.48468390000016,True,False
57,470.0,527,32493,0.2,0.06562227519073834,391.51761740000006,True,False
58,940.0,841,33334,0.2,0.07119995185307094,401.6013687000002,True,False
59,1020.0,814,34148,0.2,0.06595019903490502,410.7946049000002,True,False
60,960.0,957,35105,0.2,0.05994611305562647,421.5708554,True,False
61,230.0,373,35478,0.2,0.059320502403763034,425.8680436000002,True,False
62,360.0,356,35834,0.2,0.07322247745992427,429.92436210000005,True,False
63,650.0,594,36428,0.2,0.07369779805721552,436.69476970000005,True,False
64,670.0,567,36995,0.2,0.0720465203733943,443.1281134999999,True,False
65,370.0,403,37398,0.2,0.06727992818866035,449.8199500999999,True,False
66,620.0,664,38062,0.2,0.07226964018128094,461.1052012,True,False
67,820.0,876,38938,0.2,0.0753168270021643,475.04382609999993,True,False
68,690.0,608,39546,0.2,0.07348698558665714,484.82353030000013,True,False
69,570.0,735,40281,0.2,0.07700928909521874,496.47331840000015,True,False
70,1030.0,657,40938,0.2,0.07097411260758413,506.5020414999999,True,False
71,430.0,391,41329,0.2,0.07595592300046464,512.5087394000002,True,False
72,810.0,631,41960,0.2,0.06445874976395052,522.3309972000002,True,False
73,290.0,374,42334,0.2,0.06382533607463683,528.2421027999999,True,False
74,790.0,763,43097,0.2,0.07477400769328416,540.288931,True,False
75,1050.0,712,43809,0.2,0.0755620575039072,551.926966,True,False
76,990.0,885,44694,0.2,0.07580582550579336,568.4490562000001,True,False
77,900.0,625,45319,0.2,0.07455155486837985,578.6359313000003,True,False
78,880.0,789,46108,0.2,0.06769439881912084,591.6771690999999,True,False
79,380.0,447,46555,0.2,0.07980942189995502,598.997116,True,False
80,1050.0,780,47335,0.2,0.07377184269328912,611.5163932999999,True,False
81,220.0,312,47647,0.2,0.06833923569856545,616.9191976000002,True,False
82,730.0,613,48260,0.2,0.07933836827635185,627.9017693000001,True,False
83,470.0,512,48772,0.2,0.07846583843638655,637.4820138999999,True,False
84,530.0,509,49281,0.2,0.07633462796119724,646.5763427000002,True,False
85,500.0,506,49787,0.2,0.09938049405103638,655.9804099000003,True,False
86,890.0,841,50628,0.2,0.08601632789307014,671.4198283999999,True,False
87,340.0,426,51054,0.2,0.08197082363877375,679.4402322000001,True,False
88,920.0,843,51897,0.2,0.08501782186188121,695.0854795999999,True,False
89,620.0,737,52634,0.2,0.08784914105806661,708.5150714000001,True,False
90,2120.0,791,53425,0.2,0.0833902043723172,723.3217634000002,True,False
91,860.0,820,54245,0.2,0.08132789054567494,736.7404465,True,False
